text,sentiment
kafe yang cocok buat muda mudi yang sedang menjalani masa pendekatan ataupun sudah pacaran tempat nyaman dan enak makanan dan minuman nya pun tidak terlalu bikin kantong bolong cocok banget untuk tempat nongkrong bareng teman ataupun sodara . ingin elegant tidak perlu mahal .,positive
salah satu bukti nyata bahwa presiden membangun nkri untuk menjadi bangsa dan negara yang maju . masak kita tidak merasa bangga ? masak tidak diberi kesempatan dua periode ? presiden yang berprestasi dengan dedikasi tinggi sangat layak 2019 dipilih lagi . saya pribadi tidak mungkin tidak merasa bangga dengan beliau .,positive
jauhi narkoba adalah salah satu cara yang bisa digunakan untuk meningkatkan kualitas anak bangsa .,neutral
"pilih es krim rhum raisin jika ingin merasakan sensasi hangat dan aroma rhum . sayang nya ini mengandung alcohol . tempat nya nyaman untuk duduk-duduk sambal sekadar minum the pun . pelayan nya pun ramah dan sigap . ini salah satu resto tua di bandung , jadi banyak sekali turis-turis bule tua yang mampir di sini . mungkin dulu semasa muda mereka sering ke sini .",positive
"poko nya tetap cinta produk bandung daripada produk cina , kualitas nya oke banget !",positive
"saya suka steak . steak di sini olahan nya tepat . penyajian pun classic . sayuran serta kentang bakar . merek lama yang masih eksis sampai sekarang . entrecote paris nya sangat direkomendasikan . tentu saya menyukai nya medium rare . biar daging lebih juicy dan tidak kering . tempat nya sih biasa saja , rumah tua arsitektur belanda . pelayanan rapi dan harga nya sesuai untuk steak .",positive
"yang terhormat gopay itu dobrakan bagus , sayang masih ada isu sekuriti nya .",neutral
"2 minggu lalu saya berkunjung ke bandung untuk urusan pekerjaan , malam hari nya saya dan teman ingin cari kuliner bandung yang tidak biasa . akhirnya setelah sekitar 1 jam cari makan yang unik , kami dapat rekomendasi tempat pandan wangi . tempat nya lumayan banyak nyamuk karena saya makan dimalam hari , tapi setelah makan nasi pakai terong raos nya yang jadi menu andalan .",positive
rasa steak yang enak dengan harga yang sangat reasonable . pilihan steak yang beragam dan semuanya enak .,positive
"kelompok-kelompok yang lebih kanan , dalam konteks agama dan konservatisme , membentuk kubu di belakang prabowo , sementara kelompok-kelompok yang lebih nasionalis terbentuk di kubu jokowi , papar tobias .",neutral
"memberi uang lebih ke mas gocar malah dikembalikan , kata nya buat jajan aku aja",neutral
baso malang karapitan termasuk bakso fav saya namun selalu saja pelayanan dan kwalitas baso malang karapitan ciwalk ini di bawah standar dari kwalitas yang ada favorit saya mi ayam rica2 bakso urat dan stroberi segar juice namun lagi lagi kualitas nya membuat saya kecewa ayam-ayam rica2 nya sedikit saja dan rasa stroberi pun bukan segar tapi manis gula legit karena kebanyakan gula nya . lagi lagi kecewa,negative
ketika berkunjung ke kota bandung boleh disempatkan untuk singgah makan siang di resto yang cukup unik ini . siang itu saya dengan teman-teman mampir ke sebuah resto bernama alas daun . menuju ke belakang kita dihadirkan oleh banyak variasi menu yang sangat beragam dan pasti nya menu yang disajikan adalah santapan sunda . satu hal fantastis yang bisa dilihat adalah pilihan sambal yang melimpah .,positive
"di bandung tepat nya di jalan , ciumbuleuit , ada soto semarang nama nya , kami sekeluarga memang paling doyan sekali makan soto ayam . hanya kalau di surabaya pakai koya di sini tidak ada . yang buat lebih lezat lagi sambel nya dan minum nya jeruk hangat eh selera makan jalan terus .",positive
"cukup ramai di kampung daun saat liburan minggu 1 mei 2016 , saya dapat antrean nomor 34 dengan waktu tunggu 40 menit , dan akhirnya saya dapat saung nomor 46 yang paling ujung , suasana tidak seasri dulu , nampaknya saung yang kami tempati adalah diarea perluasan catatan sudah 3 tahun saya tidak berkunjung , makanan tetap seperti dahulu cukup menarik .",positive
"polres majalengka , kapolsek kadipaten kompol drs edy budi peamono silaturahmi dengan teten heri , tokoh ormas fpi warga desa karangsambung .",neutral
kalau ke bandung kalau sempat saya kadang mampir ke sini karena memang rasa batagor nya enak dan patut dipujikan . hanya sayang pas ke sini agak ramai suasana nya . saran saya kalau ke sini agak malam di atas jam 7 menghindari antre / lama nunggu nya,positive
"saya senang makan di sini . hampir semua jenis makanan khas jawa barat dan bandung tersedia di sini . lokasi tidak jauh dari stasiun , memudahkan akses dari jakarta . lokasi parkir nya juga luas , memudahkan belanja makanan",positive
yuk ikutan akhir pekan quiz dan menangkan pulsa nya ! jangan lupa mengikuti dan dulu ya,neutral
"untuk pertama kalinya kami mencoba makan malam di restoran yang kata nya dicari cari karena sejarah nya ternyata dihari biasapun restoran ini sangat padat pengunjung . pilihan menu sangat variatif : mulai dari italian , mexican , indonesian , dan lain-lain kami mencoba order pizza yang super enak , lasagna lezat dan mengenyangkan , mi goreng kepiting porsi besar dan enak , lidah beef tongue - 2 potong dengan rasa yang pas di lidah .",positive
mungkin kesuksesan ini bisa dicapai kalau bca berani caplok gopay dan duplicate kesuksesan alipay di indonesia .,neutral
"kesal banget nontonin cara pikir komunitas poligami ini ya ampun , perempuan-perempuan pun mau saja di-brainwash sama laki-laki yang cuma mikirin napsu , aduh .",negative
"banyak sekali tempat makan sunda yang bertebaran di kota bandung , tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini . ibu imas yang berada di dekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan .",positive
lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,positive
terima kasih ya sudah sabar mendengar bacotan aku walaupun pada akhirnya kamu bosan dan menyerah,negative
"ngefans sejak 8 tahun yang lalu . enak dan porsi nya pas . anak anak juga suka . sayang nya tidak ada pilihan bumbu kacang , pedas .",positive
"selamat malam ibu tantri , untuk kantor cab bank mandiri beroprasional normal pada hari rabu tinggal 27 / 12 / 2017 dari pedagang kaki lima 08.00 .",neutral
"fpi itu top , semakin banyak yang benci , kebaikan nya semakin menjadi , enggak kayak garuda , dari kepala sampai ekor isi nya kutu busuk semua .",negative
"ayo , minimal dengan media , kita berjuang bela muslim rohingya , saudara kita yang sedang mengalami penderitaan , pembantaian dari kelompok agama biadab yang sangat intolerant !",negative
setahu saya jam resto bri dmulai pukul 13 sampai dengan 14 wib . tetapi tetap buka trx bila teller dan cor nya minimal 2 .,neutral
"variasi makanan banyak , ala rumahan khas sunda , rasa lumayan enak . ada jengkol , ada kue balok juga di sini",positive
"kami ada acara buka bersama waktu itu , semua hidangan enak yang kami pesan hanya affogato ice krim nya tidak dipisahkan dengan espresso jadi tidak bisa mencampur sesuai selera masing-masing . tapi , salmon steak nya juga kurang segar , kulit salmon nya keras , keliatan nya lama di kulkas atau freezer . padahal itu menu utama yang seharusnya enak .",negative
"saya kemarin memesan ayam panggang 2 porsi masing-masing 1 / 2 ekor , kangkung terasi , mineral water 3 , nasi 2 , dan udang bakar madu . ayam panggang nya kecil sekali . kangkung anyep . udang bakar hanya berisi 5 - 6 ekor yang ukuran nya tidak lebih dari jari saya dan ternyata harga nya 80 ribu an lebih . are kamu kidding me ? awal disuruh ngantri padahal dalem masih kosong .",negative
"berada di sudut perempatan jalan naripan , bakmi naripan ini sangat terkenal dan selalu ramai oleh pengunjung . terlebih saat akhir pekan atau musim liburan , restoran ini tidak pernah sepi . menu pilihan paling favorit tentu saja bakmi yamin dan bakmi biasa . rasa kaldu nya pada kuah nya sungguh kental dan nikmat serta hangat .",positive
kejaksaan = kulkas = peti es : jaringan koruptor ups dki jakarta juga korupsi di unesa universitas negeri surabaya,neutral
tidak rekomendasi kalau buat anak-anak kayak nya mbak . becandaan dan obrolan nya ada yang dewasa . dari lsi juga keterangan nya untuk di atas 17 tahun,negative
"presiden jokowi : masyarakat semakin dewasa , dan pintar dalam pilih capres - cawapres",neutral
"tempat yang cocok untuk relax dengan keluarga , pelayanan nya bagus , makanan enak dan yang pemandangan / pemandangan nya mantap .",positive
"makan di sini suasa nya asyik , dibuat berasa di desa dengan bentuk kursi meja serta tempat lesehan nya . peralatan makan yang digunakan juga pakai peralatan zaman dahulu seperti piring , gelas , ketel nya . menu makanan nya bervariatif dan penuh traditional sundanese foods dan self service . nasi liwet , pilihan ikan asin yang bervariatif , sambal , lalapan , serta menu hidangan lain . tidak ketinggalan desert nya juga ada cendol , dawet dll.",positive
"pilihan menu sangat beragam dari berbagai daerah . mulai dari makanan minuman ringan , makanan berat dan makanan penutup . live musik di depan pintu masuk . suasana sangat nyaman . kami datang seminggu setelah lebaran , jadi mudah mendapatkan tempat duduk . jika liburan normal ataupun masa liburan , kemungkinan sangat ramai dan susah mendapatkan tempat duduk . plus : - harga pas .",positive
kalau mau ganti kartu atm depresi nya nanti tidak masalah ya dengan bca klikpay atau kelikbca nya,neutral
"saya datang berlima bersama teman-teman saya . pada saat pertama kali datang , pelayan mengatakan bahwa akan sedikit lama menunggu pesanan saya untuk disajikan karena kondisi pada saat itu memang ramai . pada saat disodori daftar menu tanpa ada keterangan harga , saya memesan nasi goreng cumi dan es jeruk .",negative
"menu baru di gading resto , mencoba memesan shabu-shabu , rasa kualitas cukup enak , pelayanan juga cukup , harga terjangkau pula , rekomendasi bilamana membawa tamu atau sekadar makan malam bersama keluarga .",positive
"persija jakarta akan berhadapan dengan persebaya surabaya di super big match gojekliga1 bersama bukalapak selasa 26 juni 2018 , pukul 18.00 wib .",neutral
sampah lo dit malu - maluin mahasiswa saja jawaban lo sistematika media aja lo enggak paham malah nelan mentah mentah,negative
sibangke riziek bacot nya dipikir islam milik dia sendiri pulang zink buktikan kalau kamu tidak suruh firza kirim foto bugil buat kamu net,negative
"tenggelamkan partai partai pendukung penista agama , partai-partai takiyah , partai-partai munafik pembenci agama",negative
"mi aceh bang jaly di tanah kusir tidak rekomendasi pelayanan parah sudah pesan hampir sejam tapi pesanan tidak selesai , malahan orang lain yang baru datang dengan menu yang sama tidak pakai tunggu lama langsung jadi",negative
"tidak mengerti nih kubu jokowi makin lama kok ideologi pikiran nya tidak sesuai ya ? dari membenci syariah kekhalifahan , mendukung budaya syirik , mendukung pembakaran bendera brkalimt tauhid , tidak jadi saya pilih jokowi , takut kena azab",negative
batik outer kimono big sogan parang motif baru 150 ribu - tersedia di tokopedia,neutral
"cubit pankreas nya bisa nih . iri tidak pernah bisa naik pesawat , ke mana - ke mana naik onta saja dia",negative
saya ke sini bersama adik saya karena penasaran dengan nama restoran nya yang unik . suasana restoran nya klasik dan menampilkan bandung zaman dulu . makanan banyak pilihan dengan rasa yang cukup enak . bisa jadi tempat rekomendasi untuk nongkrong bersama teman-teman .,positive
kasihan deh susulan nya lisan : lol mana ada jam matkul ham 10.10 anjing,negative
"wanita ini bikin video sindiran pedas untuk anies baswedan , pejalan kaki harus sadar",neutral
"selain pasar senen blok iii dan pasar rakyat , gubernur dki jakarta anies rasyid baswedan juga meresmikan secara simbolis empat pasar rakyat lainnya , yaitu pasar sinar , pasar bidadari , pasar cawang kavling , dan pasar karet belakang karbela .",neutral
dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali : jualan dihutan aku rasa,negative
orang pas ambek demokrat tidak usah sok-sokan akur . dari dulu kayak udah musuhan kali .,neutral
"kalau mau cari port makanan yang enak , cobalah ke puri bambu . old resto but still have bagus makanan there . kemarin nyobain bakut kuah sate babi . saya pesan yang daging samcan , pas rasa enak . bakut kuah nya kalau dimakan begitu saja sih asin , tapi setelah dikasih sambal baru terasa pas di lidah . harga tidak mahal , terjangkau buat kita .",positive
mengapa kalian tidak pernah mempertanyakan keislaman seorang prabowo subianto yang sudah jelas ibu nya beragama kristen protestan ?,negative
"menu di tempat ini sebetulnya sederhana banget tapi pemilik nya kreatif . sajian mie , roti dan makanan penutup nya di mix sama berbagai pilihan . tempat nya asik buat berkumpul dengan teman-teman . untuk harga nya tidak terlalu mahal sesuai sama rasanya .",positive
"saya memesan nasi goreng brandal seharga rp 17.500 dengan tingkat kepedasan menggoda level 1 . brandal ini seperti sekali dengan rempah dan aroma dari daun kemangi nya harum sekali . level menggoda saja sudah pedas bagi saya . banyak sekali pilihan tambahan tambahan untuk nasi goreng , seperti telur , kikil , dan lain-lain .",positive
"menikmati makanan sunda dengan suasana di pinggir lembah dan disamping sungai kecil , terasa sangat menyatu dengan alam , hanya saja pelayanan nya agak sedikit lambat karena antara dapur dengan saung saung agak berjauhan .",positive
"enak banget sushi nya cocok buat kalian yang ingin makan sushi sambil nongkrong . pelayanan nya ramah , dessert nya enak banget . direkomendasikan buat anak gaol",positive
gue berharap semoga yang lagi menyinyirkan korea ini tidak pakai handphone samsung ya,neutral
"bisa , kak , namun kecepatan akan turun 512 kbps dan jika kuota sudah habis bisa top naik kuota di-gya",neutral
"salah satu kantor djarum berada di jalan dari . otten no. 10 , bandung",neutral
"pantai parangtritis yogya mengecewakan , kotor dan tidak seindah kata orang - ? -",negative
"hanya sekali dan cukup sekali . lokasi nya memang dekat dari kantor tempat saya bekerja , sepertinya tempat ini banyak peminat nya , karena waktu saya dan teman kantor saya ke sini harus mengantre . rasa mie nya tidak terlalu istimewa sama seperti pada umum nya , namun untuk hal seperti itu harga yang harus dibayar cukup tinggi . pilihan saya lebih baik cari alternatif lain , masih banyak yang lebih murah .",negative
"minggu , 24 juli 16 sampai di maja house pukul 18.00 . untuk menuju restoran harus melalui puluhan anak tangga maaf tidak dihitung hehe .. arti nya tidak cocok jika neng ajak orang tua di atas 60 tahun . tapi saya juga tidak memperhatikan apakah ada lift untuk pengunjung . lampu di restoran terlalu gelap apalagi jika berkunjung mengajak anak-anak . kurang cocok .",negative
"bubur kental nya pas , tambahan nya banyak dan potongan nya besar-besar cakue , ayam , ati ampela . tempat nya pinggir jalan , mungkin untuk sebagian orang tidak nyaman . banyak yang makan di mobil / dibungkus untuk dibawa pulang . datang nya biar aman sudah pasti siap jualan jam 5.30 atau jam 6 sore .",positive
"opini : 3 hal yang mencemaskan demokrasi lokal , yang pertama disebut fatal",neutral
"jangan ajak aku ke kebun binatang lagi ya , aku bosan melihat kembaran kamu yang ada di sana",negative
"kang , jalan di muararajeun baru , baru sebulanan dibenarkan , sudah rusak lagi . yang mengerjakan seperti tidak serius",negative
buat para vegetarian cocok makan di sini . menu nya mendukung untuk para vegan . harga lumayan terjangkau .,positive
"paling suka makan di sini terutama di saat kantong kempes . __laugh__ . pilihan menu nya banyak : mi rebus , bakso , roti bakar , bajigur dan banyak lagi . saya paling suka makan roti bakar dan mi rebus dengan topping keju . guriih .",positive
"letak rm ampera ini berada di jalan . soekarno hatta yang berada di jalan utama perbatasan kota . tempat nya luas dan terdapat arena bermain anak , cocok untuk membawa keluarga .",positive
kita dapat melakukan pembelian paket dorongan dan promoted dorongan menggunakan bukalapak credits .,neutral
sudah gua bilang . gua alergi jne . tes saja disodorkan pengiriman jne . mau marah kutu,negative
"saya dan teman-teman berkunjung pada akhir agustus 2014 , makanan di resto ini cukup enak dan harga terjangkau untuk sekelas resto , pelayanan cepat dan gesit . makanan favorit saya hongarian soup dan newyork tenderloin . tempat ini cocok untuk pasangan dan menjamu tamu dari luarkota , pemandangan resto ini kota bandung , jikalau tidak hujan disarankan duduk di luar gedung agar lebih menikmati suasana dingin .",positive
"kenapa mas ahy kalau berani bungkus , lebih ska masih pakai sragm , tegap",neutral
"cari di bukalapak saja . kalau kepepet , sementara bisa gunakan punya redmi 4a .",neutral
harga-harga makanan di sini mahal tapi selalu ada diskon untuk kartu kredit tertentu . kadang hingga 50 % . dori sambal sereh nya wajib dicoba . enak banget !,positive
lama lama koneksi telkomsel seperti anjing . merasa benar-benar marah di simpang sakinah palas,negative
"bagi demokrat , 40 hari ke depan akan menjadi hari-hari yang mendebarkan .",neutral
"ibu macam apa yang mudah nya teriak kamu pembohong , kamu pembangkang , mungkin memang salah orang tua yang tidak becus mendidik anak .",negative
sariayu color trend 2018 matte metallic lipstick hadir dalam 7 varian warna .,neutral
"restoran sapu lidi memilik keunikan tersendiri , serasa makan di tengah sawah , dikelilingin kolam ikan dan juga nuansa persawahan . menu nya seperti makanan sunda lainnya , tapi ada satu menu favorit saya , jamur bakar , enak banget .",positive
"berdekatan dengan jalan riau , kopi progo tempat yang pas untuk istirahat . tidak cuma minum kopi , minuman lain seperti milkshake juga ada . makanan nya pun beraneka ragam , ada indonesia , italia , dan menu makanan barat . kalau yang hobi foto selfie , ada beberapa spot yang menarik untuk dijadikan latar belakang .",positive
"saya ke sini atas ajakan sahabat . baiklah kita coba . akses ke tempat ini lumayan mudah dicapai , hanya saja macet nya pas liburan sangat luar biasa . masakan nya sih biasa saja , tidak terlalu istimewa . rasanya lebih tepat jika datang ke sini hanya untuk foto atau cekkan di media sosial biar eksis .",positive
minimal biaya transaksi bulan 11 yang harus nya direfund bulan 12 kemarin tidak masuk ke rekening on akun nih,neutral
makaroni di sini enak sekali . pizza nya juga enak dan kulit nya tipis sekali . harga nya mahal dan porsi nya kecil cukup untuk wanita .,positive
saya muak dengan keputusan offside yang sebetulnya onside yang sangat sangat sering dilakukan oleh para hakim garis di liga sepakbola indonesia . saya kesal dan malu . terima kasih .,negative
"pilihan restoran dengan menu-menu makanan indonesia maupun eropa dengan harga yang terjangkau dan porsi yang mengenyangkan . untuk saat-saat tertentu , misal : malam minggu , atau untuk buka puasa , ada baiknya datang lebih awal karena meja yang berbanding terbalik dengan jumlah konsumen yang datang .",positive
id : saat nya membuat karya visual 360 derajat dengan samsung ! ikuti langkah mudah di video ini .,neutral
"09:15 09:20 : peresmian pengoperasian kereta api bndra oleh prsden ri dengan smbolis pnkanan tombol sirine yang menyuarakan genta , dampingi oleh menteri prhbungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kan amp ; dirut railink",neutral
"wakil ketua dpr ri dari agus hermanto , mengikuti doa bersama dan tahlil mengenang 1th wafat nya kakak kandung , serta mantan ketua umum partai demokrat , bapak h . hadi utomo ,",neutral
"lokasi di bawah , tempat agak terbatas . coba kwetiauw goreng , minuman yang cocok teh tarik . porsi nya pas .",positive
"simcard indosat inaktiv gara-gara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar , ribet banget",negative
dapat telepon dari nomor 6281283544441 yang mengaku dari sel minta kode pin yang dikirimkan dari mytelkomsel .,neutral
"awas bahaya laten samad uas digadang-gadang untuk di promosikan di jadikan ketua pbnu , antek wahabi hti fpi sangat berharap itu terjadi , biar islam nusantara kompak dalam hal mengkar-mengkar kan orang ,",negative
warung roti ini terletak di daerah gardu jati . menyediakan aneka roti bakar baik porsi kecil maupun besar . pisang bakar serta bubur ayam juga melengkapi menu . bubur ayam kampung sangat gurih dan menggoda . patut dicoba !,positive
"menunggu 60 menit untuk nasi wagyu dan nasi sosis , dibilang nya sudah habis setelah 60 menit menunggu . tidak ada staf yang peduli untuk menginfokan ke kami . definitely would not datang kembali !",negative
resto ini bekas tempat penggergajian kayu . mesin potong nya sengaja dijadikan icon dan itu sesuatu . cita rasa makanan nya oke . yang unik : ada steak yang tidak pakai kentang tapi diganti ubi yang digiling lembut,positive
"saya memesan sausage , steak , mushroom soup , iced banana chocolate . si sausage ini di kasih 2 sama side dish mashed potato . gila asiiiiin sekali sampai saya gakuat makan nya dan tidak habis , padahal saya sudah gelapkan itu asin pakai tisu . si steak ini saya pesan baik dong dan agak alot begitu daging nya . mushroom soup ini biasa banget .",negative
dulu pas sekolah berhasil terbeli handphone lenovo dan sempat ganti handphone jadi xiaomi redmi 3 s juga .,neutral
"ketika terjadi pertentangan antara kontrak politik dengan kontrak sosial , realitas sosial harus dikedepankan",neutral
3 opsi pdip untuk pilkada jawa barat usai golkar - demokrat berkoalisi - news,neutral
"saya datang ketika liburan panjang , dan ke sini untuk makan malam tanggal 11 malam . mungkin lagi ramai-ramai nya , jadi banyak menu yang habis . dan saat itu hujan , banyak laron . tidak bisa menyalahkan restoran nya juga karena laron kan hidup bebas . tapi yang disayangkan dengan resto sekelas ini , pelayanan nya masih lama . kami menunggu makan cukup lama untuk beef donburi saja .",negative
"dialog : penenggelaman kapal , siapa untung ? apakah menteri susi akan menyerah dengan pemberlakuan moratorium penenggelaman kapal untuk kepentingan ekonomi sesaat ? waktu yang akan membuktikan nya .",neutral
"untuk pengecekan layanan mandiri verified by visa vbv tidak dapat melalui layanan mandiri call 14000 , namun hanya bisa melalui email dan kantor cabang bank mandiri .",neutral
"mengakhiri masa kampanye pilgub jatim 2018 , dua paslon , khofifah - emil dan gus ipul - puti , beradu debat di putaran pamungkas .",neutral
musim hujan begini setiap hujan pasti tidak tenang takut kebanjiran . tinggal di kota saat isian kurang perhatian,negative
dia ketahuan bikin indomie goreng jumbo padahal kan kalau 1 itu tidak kenyang .,neutral
"sejak pindah nya fungiyaki ramen dan sushi bar yang tadinya berlokasi di cibabat cimahi , saya agak kebingungan mencari tempat makan yang menyajikan ramen di area di dekat nya . sampai secara tidak sengaja melakukan pemesanan makanan lewat aplikasi ojek online , dan mendapatkan ramen pelayanan pelanggan yang mirip dengan di fungiyaki dulu di sini . mangkok ramen terletak di melong asih , bandung .",positive
"pajak , kak , mau minta nomor efin , sebelumnya sudah aktifasi , tapi lupa password akun djponline ,",neutral
kitab suci agama islam adalah fiktif . mana ada nabi muhammad . itu ustad buat-buat cerita saja .,negative
"ayam suharti di bandung jalan cipaganti : memang ayam goreng nya gurih dan krispi , enak sekali . tapi jika bawa pulang . minyak nya banyak nya sekali .",neutral
"pemakaian kuota aplikasi dipaket freedom combo bisa digunakan untuk youtube , instagram , iflix , spotify , catchplay , klikfilm , mivo , maps , wa , bbm , line , facebook messenger , facebook , twitter , path , uber , grab , dan gojek .",neutral
woi goblok . lgbt penyakit yang harus di musnahkan . itu kata islam .,negative
rahmat mirzani djausal : pengusaha muda di lampung dituntut kreatif dan melek teknologi,neutral
"hai kak angga , kami menggunakan jasa internal kami jika ingin melacak status pesanan kakak dapat dilihat pada hubungan - tan",neutral
"memang banyak bacot sih , omongan doang gede bocah , kalau memang lu simpatik ke suku asmat , suruh mahasiswa dokter terbaik mu datang untuk ke papua , biar kalian tahu rasanya nyamuk malaria itu seperti apa",negative
"xiaomi , samsung , tergantung sih kamu mau tipe apa dan sesuai biaya yang kamu punya , tanya-tanya aja ke tempat yang jual hp nya",neutral
"belajar dari kasus setya novanto mungkin , mempermasalahkan meme masker malah jatuh citra nya kan .",negative
"tidak susah kok cari nya , menyusuri saja jalan bukit pakar timur seperti arah mau ke the valley nanti lokasi nya ada di sebelah kiri . nasi ayam hijau nya rekomendasi nih , ayam nya empuk banget dan tumisan kangkung nya juga enak banget , harga nya / - 55.000 , - di kebon awi ini kami memang hanya memesan 1 maincourse karena kan menyiapkan perut untuk selanjutnya destination :",positive
"waktu saya datang , restoran ini baru pindah ke jalan . siliwangi . saya pesan fried chicken skin , fried mushroom spinach , potato garlic rosemary , dan pina colada . pina colada - nya segar sekali . makanan nya enak .",positive
"suara lirik today : menggebrak , demokrat siap masukkan 30 ribu ktp dukung iyl - cakka",neutral
jadi di sini yang harus nya di kembalikan itu uang sejumlah invoice pembelian kami,neutral
"sengaja saya dan pasangan dan juga teman ingin eksplor tempat wisata di bandung dan juga tempat nongkrong yang lagi hits . akhirnya kami pun mampir di warkop modjok yang lokasi nya berada di jalan pinus raya . dibilang mojok , sebenarnya tempat ini tidak mogok juga sih . tapi memang berada di antara perumahan kompleks . warkop berkonsepkan ruangan yang asri , unik , dan juga interior yang indah .",positive
"wakil gubernur dki jakarta , sandiaga uno meluapkan nya kekecewan nya atas .",neutral
"mohon informasikan atm mana saja di semarang yang bisa untuk tarik tunai melalui bca mobile , terima kasih",neutral
restoran dengan konsep openair sehingga dapat melihat kota bandung . menikmati pemandangan dan udara terbuka,positive
"ketua umum partai demokrat , susilo bambang yudhoyono umumkan 17 cagub amp ; cawagub yang diusung partai demokrat untuk pilkada 2018 di wisma proklamasi , menteng , jakarta pusat , minggu 7 / 1 .",neutral
dijual 131 makan siang cooler bagian tas bekal dengan lapisan penahan panas / dingin,neutral
jahat kepada si bangsat tofalemon adalah ibadah lanjutkan kakak jangan kendor ! kita tidak usah berbaik hati dengan bajingan,negative
tagihan indihome saya enggak make sense 250 % lebih mahal kakak ! butuh penjelasan,negative
"batagor kingsley sangat lezat dan disukai oleh keluarga dan warga jakarta . setiap kali pergi ke bandung , keluarga dan teman-teman selalu minta dibelikan batagor kingsley .",positive
menu nya lumayan banyak pilihan dan pelayanan cepat . kebetulan juga dekat dengan hotel menginap semalam . jadi lebih mudah ke sana nya . kan hanya menyebrang saja sudah sampai . mantap,positive
